ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
310067687,Продажа коммерческой земли,"50.0, сот.",м. Дубравная (12 мин на машине),"Республика Татарстан, Казань, Салмачи жилмассив, улица Центральная, 200","99000000 руб., УСН","+79869248030, +79179314324","продается земельный участок, назначение коммерческое, с действующим разрешением на строительство двух зданий 1500 и 400 кв.м. участок ровный вдоль дороги, хорошо просматриваемый. 
высокая транспортная доступность и проходимость 
Идеально для развития вашего бизнеса, под магазин, рынок, торговый центр., логистический парк
рядом застраиваются пос. Куюки , Салмачи 
Выезд на федеральную трассу, 4 фото",https://www.cian.ru/sale/commercial/310067687
312603194,Продажа коммерческой земли,"23.7, сот.",м. Проспект Победы (10 мин на машине),"Республика Татарстан, Казань, Новое вознесение кп, улица 1-я Вознесенская","79000000 руб., УСН",+79173908281,"Участок нaxoдитcя нa въезде в большoй жилoй мaсcив, нa котopoм будeт построено 180.000 квaдpатoв жилья  Сoглacoвaнный эскизный проект на 1.500 квадpатов , плюс Teрасcа на втoрoм этaжe 300 кВ  Пoлучeнo paзрешение на строительство  Получены техусловие по электричеству и газу  Объект 43056-8133., 6 фото",https://www.cian.ru/sale/commercial/312603194
319511013,Продажа коммерческой земли,"0.09, га",м. Дубравная (12 мин на машине),"Республика Татарстан, Казань, улица 5-я Зеленая, 55/1","9000000 руб., УСН",+79178613683,"От собственника! Без комиссии!
Характеристики:
- 1 линия
- Отдельная входная группа
- Своя парковка
- Есть возможность разместить вывеску
- Доступ 24/7
- Требует ремонта
- Отдельно стоящее здание

Дополнительная информация:
Участок под Коммерческую деятельность! 
На Первой Линии
Центральная Улица
Отличный трафик
Удобная форма участка
Газ Электричество на участке
Асфальтированная дорога

По всем вопросам можете обращаться к представителю собственника: Эдуард (268)

Добавьте это объявление в ""избранное"" - чтобы не потерять., 5 фото",https://www.cian.ru/sale/commercial/319511013
319505402,Продажа коммерческой земли,"0.0854, га",м. Козья слобода (22 мин на машине),"Республика Татарстан, Казань, Залесная улица, 117","9000000 руб., УСН",+79178613683,"От собственника! Без комиссии!

Продается участок 854м². на первой линии Горьковского шоссе, в п. Залесный, по направлению движения в г. Казань.   кад. номер: 16:50:300242:7
(адрес: г.Казань, Кировский район, ул. Залесная, д. 117/1, угловой, на пересечении с ул.Славянская) категория земель: земли поселений (земли населенных пунктов)
Ширина по фасаду 25 м. 
Находится напротив остановки ""АЗС (ул. Залесная)"" и  пешеходного перехода на другую сторону шоссе.
Все коммуникации, газ, свет, вода.
На участке старый дом.
ГПЗУ имеется.

По всем вопросам можете обращаться к представителю собственника: Игорь  (214)

Добавьте это объявление в ""избранное"" - чтобы не потерять., 8 фото",https://www.cian.ru/sale/commercial/319505402
320585021,Продажа коммерческой земли,"12.0, сот.",м. Дубравная (12 мин на машине),"Республика Татарстан, Казань, улица Интернациональная, 1К","13750000 руб., УСН",+79173908281,"Земельный участок 12 соток на 1-й линии | Константиновка, Казань | Под торговлю, павильоны ХАРАКТЕРИСТИКИ УЧАСТКА: Площадь: 1249 кв.м (12 соток)
Размеры: 32  39 м
1-я линия вдоль ул. Интернациональная Рядом - выезд на Мамадышский тракт
Подойдет под размещение торговых павильонов, автомоек, торговли
Назначение: ЛПХ (можно перевести под коммерцию) Электричество - 15 кВт. Вода - скважина. В собственности - 1 собственник (физлицо) Чистая продажа, полная цена в договоре Продаётся земельный участок в черте Казани - пос. Константиновка, 1-я линия вдоль оживлённой ул. Интернациональная. Отлично подойдёт под размещение некапитальных объектов торговли, ПВЗ, магазинов и др. Участок прямоугольной формы (3239 м), расположенный на стороне удобного выезда на Мамадышский тракт - максимальная видимость и поток транспорта. Земля в собственности, все документы готовы, возможна быстрая сделка. Ключевые преимущества:  Отличное расположение - черта города, рядом трасса  Подойдёт под бизнес-объекты  Полная с ..., 11 фото",https://www.cian.ru/sale/commercial/320585021
319509776,Продажа коммерческой земли,"0.1042, га",м. Дубравная (5 мин на машине),"Республика Татарстан, Казань, улица Нурлы, 35","15800000 руб., УСН",+79178613683,"От собственника! Без комиссии!
Земельный участок расположен в территориальной зоне - Ж4.
Основные виды разрешенного использования земельных участков и объектов 
капитального строительства:
-  Среднеэтажная жилая застройка
- Многоэтажная жилая застройка (высотная застройка)
- Предоставление коммунальных услуг
- Оказание социальной помощи населению
- Оказание услуг связи
- Бытовое обслуживание
-  Амбулаторно-поликлиническое обслуживание
- Стационарное медицинское обслуживание
- Дошкольное, начальное и среднее общее образование
-  Объекты культурно-досуговой деятельности
- Государственное управление
- Обеспечение деятельности в области гидрометеорологии и смежных с ней областях
-  Магазины
- Обеспечение занятий спортом в помещениях
- Площадки для занятий спортом
- Связь
- Внеуличный транспорт
- Обеспечение обороны и безопасности
- Обеспечение внутреннего правопорядка
- Водные объекты
- Общее пользование водными объектами
- Специальное пользование водными объектами
- Гидротехнические соору ..., 10 фото",https://www.cian.ru/sale/commercial/319509776
318215664,Продажа коммерческой земли,"10.0, сот.",м. Дубравная (15 мин на машине),"Республика Татарстан, Казань, улица Мамадышский Тракт, 119","17000000 руб., УСН",+79179367125,"Арт. 106287869  В продаже земельный участок в Казани, с хорошим трафиком, первая линия на улице Мамадышский тракт. 

   Расположение: Первая линия Мамадышского тракта.
   Трафик: Высокий.
   Окружение: Вблизи расположены новые, густонаселенные жилые комплексы.
   Разрешенное использование: Под коммерческую недвижимость (магазины, склады, автомойки, автосервисы, стоянки транспорта общего пользования, объекты торговли).
   Доступность: Возможен заезд с Мамадышского тракта. Предоставляется помощь в оформлении разрешения на отдельный въезд.
   Площадь: 10 соток.
   Коммуникации: Расположены на границе участка.
   Документы: Готовы к сделке, юридически проверены.

Сопутствующие услуги:
   Содействие в одобрении ипотеки по ставке 14,95%.
   Помощь в строительстве торговых помещений.
   Консультации по планировке участка.
   Оформление документации.

Заинтересовало?! Звоните, пишите!, 7 фото",https://www.cian.ru/sale/commercial/318215664
309382770,Продажа коммерческой земли,"0.14, га",м. Суконная слобода (21 мин на машине),"Республика Татарстан, Казань, улица Мирзы Махмутова","17500000 руб., УСН",+79196321917,"Предлагаем земельный участок многоцелевого коммерческого назначения на въезде в коттеджный поселок Изумрудная долина. в Советском районе Казани.

Площадь участка 0,141 га, возможно увеличение участка.

Участок находится в непосредственной близости от плотной частной застройки с острым дефицитом коммерческих площадей и объектов. Рядом находятся поселки Нагорный и Царицыно.

ОСНОВНЫЕ ДОПУСТИМЫЕ ОБЪЕКТЫ И ВИДЫ ДЕЯТЕЛЬНОСТИ:

объекты административного, общественного и делового назначения,
объекты торгового назначения,
объекты общепита.

Территориальная зона, согласно правил землепользования и застройки г. Казани - Зона ОД - зона размещения объектов общественно-делового назначения.
От Собственника., 3 фото",https://www.cian.ru/sale/commercial/309382770
320649837,Продажа коммерческой земли,"5.0, сот.",м. Площадь Тукая (20 мин пешком),"Республика Татарстан, Казань, улица Карима Тинчурина","20000000 руб., УСН",+79871743466,"Арт. 113099217 Учaсток плoщадью 5 сoтoк пo aдpeсу: ул. Тинчурина, д. 7, Bахитовcкий рaйoн, г. Казaнь

Идeaльнo для кoммepчеcкой заcтpойки - Виды разрешенного использования в скринах (взяты из ГПЗУ, сам ГПЗУ отправим по запросу) 

 Оснoвныe хapактepистики:
- Плoщадь учаcткa: 500 м²
- Кaтeгоpия зeмли: ж-4, мaгaзины не более 1000 м2
- Разрешённая этажность: до 2 этажей
- Первая линия, высокий пешеходный трафик
- Все центральные коммуникации рядом
 Модели использования:
1. Магазин шаговой доступности с офисами (2 этажа)
2. Частная медицинская клиника или стоматология
3. Офисное здание на 12 арендатора
4. Представительство компании или шоурум

Возможна разработка и передача архитектурной концепции в рамках сделки.

 Преимущества:
- Центр города
- Угловой участок, отличная визуализация
- Подходит под любой вид коммерции
- Возможность быстро начать строительство
- Перспектива высокой капитализации вложений

Более подробная информация на показе, 5 фото",https://www.cian.ru/sale/commercial/320649837
301205938,Продажа коммерческой земли,"9.75, сот.",м. Суконная слобода (9 мин на машине),"Республика Татарстан, Казань, улица Академика Губкина, 65","20000000 руб., УСН",+79869121608,"Продается земельный участок в Советском районе Казани, по ул Академика Губкина.
Площадь составляет 9,75 соток.
Категория земельного участка: земли населенных пунктов. 
Участок прямоугольной формы, примерные размеры 42м * 23,5м
Находится на первой линии улицы Ак.Губкина.

Перспективное место для развитие бизнеса. 
Согласован проект дороги, соединяющий трассу М7 и ул. Ак. Арбузова, участок находится в эпицентре масштабного трафика, что позволяет активное его использование.

Основные виды разрешенного использования земельного участка и объектов
капитального строительства:
- Заправка транспортных средств
- Магазины
- Общественное питание
- Объекты культурно-досуговой деятельности
-  Услуги, бытовое обслуживание
и многое другое

Электрические сети, газоснабжение, водоснабжение проходит вдоль участка.
20 мин до центра города.

ГПЗУ на руках. 
Остановка общественного транспорта в 1 мин ходьбы.
Микрорайоны рядом: Царицыно, Царицынский Бугор, КП Университетский городок КФУ, Константиновка.
Ближ ..., 3 фото",https://www.cian.ru/sale/commercial/301205938
