ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319863347,Продажа коммерческой земли,"5.5, га",,"Нижегородская область, Нижний Новгород, д. Крутая, улица Придорожная, 2А","135000000 руб., УСН",+79812980742,"Предлагаем к продаже земельные участки общей площадью 5,5 га. Земля в собственности физических лиц.
Участки с кадастровыми номерами: 52:26:0030053:40, :39, :31, :38: площадь 52688 м2 плюс 1/4 доля участков :29,:30,:34 ( въезды) площадью 1698, плюс водопровод и канализация (в собственности), так же ТУ на газ и электричество. Итого: 54386 м2.
Технические условия:
Электричество:
Получены Технические условия в ПАО МРСК Центра и Приволжья 600 кВт.
Водопровод и канализация:
Проложены трасса водопровода Ду210мм длиной 4040м и трасса канализации 2хДу160мм длиной 4400 м к сетям МУП Водоканал г. Кстово. Эксплуатируется только водопровод для нужд населения г. Кстово.
Сооружения (водопровод и канализация в собственности):
52:26:0000000:933 4050 м сооружение - трасса водопровода
52:26:0000000:949 4400 м сооружение - трасса канализации
Техническое водоснабжение проведено к земельному участку кад. номер 52:26:0030053:39.
Газоснабжение:
Построен и сдан в эксплуатацию газопровод высокого давления Ду110 ..., 2 фото",https://www.cian.ru/sale/commercial/319863347
317033189,Продажа коммерческой земли,"7.0, сот.",,"Нижегородская область, Нижний Новгород, д. Малая Ельня, переулок Полевой, 16","4500000 руб., УСН",+79101377849,"подходит под сельхоз ипотеку! 
идеальное место для застройки домов. газ на участке, два линии. сделано межевание . очень тихое и уютное место . срочно, 2 фото",https://www.cian.ru/sale/commercial/317033189
292939108,Продажа коммерческой земли,"30.0, сот.",м. Горьковская (17 мин пешком),"Нижегородская область, Нижний Новгород, Нижегородская улица, 5","160000000 руб., УСН",+79101377849,"Самый центр города. Очень тихое место. Ровный участок. Полная сумма в договоре. Чистая продажа. Кадастровый номер: 52:18:0060052:59, 8 фото",https://www.cian.ru/sale/commercial/292939108
309699237,Продажа коммерческой земли,"0.61, га",м. Горьковская (13 мин пешком),"Нижегородская область, Нижний Новгород, улица Тимирязева, 15","350000000 руб., УСН",+79875438013,"Продажа имущественного комплекса пo кpaсной линии в центре города.

ОБЩАЯ ХАРАКТЕРИСТИКА ИМУЩЕСТВЕННОГО КОМПЛЕКСА:
0,61 Га - земли (в собсвенности с возможным увеличением до 2 Га);
3156 м2 - это площадь 5 объектов на данной территории;
0,5 мВт - котельная;
110 мм - газовая труба с врезкой в центральную магистраль (в собственности);
103 м/п - по красной линии;
2 - ввода от электрических сетей;
54000м2 - эскизный проект здания существует.

Коммуникации: 
- электричество 50 кВт с возможностью увеличения;
- газовая труба (110мм);
- вода;
- канализация;
- котельная.

Доп. информация: 
- охрана;
- видеонаблюдение;
- на территории располагается 60 парковочных мест;
- земля и строения оформлены на физическое лицо. 

Условие: Сохранение арендаторов на тех же условиях. 

За счёт хорошей доходности, срок окупаемости комплекса - 9 лет (+ рост недвижимости в центре города).

Стоимость имущественного комплекса — 324 млн.руб, 22 фото",https://www.cian.ru/sale/commercial/309699237
318803878,Продажа коммерческой земли,"20.0, сот.",,"Нижегородская область, Нижний Новгород, с. Безводное","1800000 руб., УСН",+79812982257,"Код объекта: 1640386.
 В продаже участок в береговой зоне. На самой первой линии. Рядом с участком расположена лодочная станция. Более подробная информация по телефону. Участок очень юридически чистый, готовый для быстрого выхода на сделку., 4 фото",https://www.cian.ru/sale/commercial/318803878
319821940,Продажа коммерческой земли,"14.0, сот.",,"Нижегородская область, Нижний Новгород, Прибой СНТ, 198","2800000 руб., УСН",+79812982257,"Код объекта: 1272971.
 Продается видовой участок.
Участок площадью 14 соток — это идеальное место для ценителей природы и спокойной жизни. 
Чистый воздух, который проникает с близлежащих холмов, наполняет пространство свежестью и гармонией. Окружающие пейзажи восхищают глаз, создавая неповторимую атмосферу уюта и завершенности, где каждый день можно наслаждаться красотой природы.

Закрытая территория с видеонаблюдением обеспечивает безопасность и комфорт, позволяя вам сосредоточиться на важном — отдыхе и семейных радостях.
Асфальтированная дорога обеспечивает удобный доступ, а освещение по территории добавляет уюта в вечернее время, создавая теплую атмосферу для дружеских встреч или тихих прогулок на свежем воздухе.

Все центральные коммуникации — газ, вода, канализация — уже подведены, что делает жизнь здесь максимально комфортной.
В непосредственной близости протекает река Волга, где можно проводить время на природе, наслаждаясь активными видами отдыха или спокойной рыбалкой. 
Интелл ..., 10 фото",https://www.cian.ru/sale/commercial/319821940
252357551,Продажа коммерческой земли,"7.0, сот.",,"Нижегородская область, Нижний Новгород, пос. Новинки","3950000 руб., УСН",+79875438391,"Продаю земельный участок 7 соток, близ  дорожной транспортной развязки ""Ольгино"", назначение - для строительства объектов дорожного сервиса - кемпингов. Собственность физлица, без обременения.Кадастровый номер 52:24:0040001:4, 3 фото",https://www.cian.ru/sale/commercial/252357551
318582520,Продажа коммерческой земли,"89.0, сот.",,"Нижегородская область, Нижний Новгород, с. Запрудное, Дружный кв-л","3999000 руб., УСН",+79875437510,"Продаю в Запрудном ( Кстовское направление)  землю назначение: коммунально- складские и производственные предприятия 4 класса вредности различного профиля.
Рядом асфальтный завод. 
Покупали для строительства завода. 
Продаем срочно, поэтому цена занижена.
Документы готовы, один собственник ( физик), 4 фото",https://www.cian.ru/sale/commercial/318582520
318613507,Продажа коммерческой земли,"19.0, сот.",,"Нижегородская область, Нижний Новгород, д. Козловка","4500000 руб., УСН",+79101377849,"деревня Козловка. Самая тихая улица. Ровный участок. Идеальное место для дома.  Кадастровый номер 52:26:0020018:767, 3 фото",https://www.cian.ru/sale/commercial/318613507
304162101,Продажа коммерческой земли,"13.0, сот.",м. Бурнаковская (17 мин на машине),"Нижегородская область, Нижний Новгород, Московское шоссе, 400А","10000000 руб., УСН",+79812982257,"Код объекта: 1128829.
 Предлагаем выгодную возможность приобретения замечательного участка на 13 соток, который идеально подходит для реализации любых замыслов. Градостроительный план готов со всеми видами использования.

Расположен в престижной местности поселка Строителей, где проходит важная транспортная артерия — федеральная трасса М7 ""Волга"". Объемная транспортная сеть соединяет населенный пункт с Дзержинском и Нижним Новгородом благодаря автобусам 201 и Т-401.

Удобно расположенный переход позволяет безопасно пересечь дорогу пешком.

Напротив находятся автосалон Мерседес-Бенц Трансинвест, предлагающий широкий спектр услуг по обслуживанию и ремонту грузовых автомобилей, а также заправочная станция PLUS.

Участок окружен дорогами, что обеспечивает удобство для подъезда, а также предусмотрено место для парковки. Ограждение участка и наличие контейнеров для хранения делают его безопасным и удобным для использования.

На участке расположен дом, который может быть отреставрирован или с ..., 10 фото",https://www.cian.ru/sale/commercial/304162101
