ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320571425,Продажа коммерческой земли,"40.0, сот.",м. Домодедовская (33 мин на машине),"Московская область, Домодедово городской округ, Домодедово, Белые Столбы мкр, Склады 104 владение, ш. Каширское (35 км до МКАД), ш. Новокаширское (33 км до МКАД)","50000000 руб., УСН","+79230737138, +79390176589","Инвестиционный проект ""ПЛАТИНОВЫЙ КИЛОМЕТР"". Собственник приглашает партнеров к сотрудничеству.

Уникальная возможность для инвесторов и стратегических партнеров!
Собственник проекта приглашает к обсуждению взаимовыгодного сотрудничества по реализации топового инвестиционного проекта ""ПЛАТИНОВЫЙ КИЛОМЕТР"".

На фото: Ознакомительная презентация проекта.

Готовы предоставить:
Детальную финансовую модель и бизнес-план.
Полный пакет документов по проекту.
Информацию о текущем статусе и планах реализации.
Ищем серьезных партнеров, заинтересованных в долгосрочных и надежных инвестициях.

Свяжитесь с нами, чтобы запросить полную информацию и назначить встречу!, 8 фото",https://www.cian.ru/sale/commercial/320571425
317400801,Продажа коммерческой земли,"1.11, га",м. Домодедовская (32 мин на машине),"Московская область, Домодедово городской округ, Домодедово, Белые Столбы мкр, А-107 1-й километр тер., ш. Каширское (34 км до МКАД), ш. Новокаширское (32 км до МКАД)","88896000 руб., УСН",+79894068597,"Предлагаем Вашему вниманию участки площадью от 1 до 5 гектар. 
Индустриальный парк Южный находится на внутренней стороне ЦКАД, около многоуровневой развязки, соединяющей федеральную трассу М4 Дон, Старое Каширское шоссе, Малое бетонное кольцо А-107 и трассу А-113 ЦКАД. Три построенных выезда позволяют выезжать на все указанные дороги в обоих направлениях. Расстояние от МКАД по трассе М4 — 30 км.
 Инженерная подготовка участка из расчета на 1 гектар:
Электроэнергия  75 кВт.
Газоснабжение  по границе земельного участка возможно подключение.
Водоснабжение  3 м3/сутки.
Водоотведение  3 м3/в сутки. 
Ливневая канализация.
Сети связи (интернет).
Присоединение к дорожной сети. 
Обслуживание территорий общего пользования, контроль доступа в индустриальный парк, уборка дорог общего пользования, эксплуатация общего инженерного оборудования и сетей, освещение общей территории., 10 фото",https://www.cian.ru/sale/commercial/317400801
312799863,Продажа коммерческой земли,"11.2, га",м. Домодедовская (34 мин на машине),"Московская область, Домодедово городской округ, Домодедово, Белые Столбы мкр, ДОЛ Шебанцево владение, ш. Каширское (37 км до МКАД), ш. Новокаширское (35 км до МКАД)","180000000 руб., УСН","+79337869205, +79230726284","Я СОБСТВЕННИК, АГЕНТОВ ПРОШУ НЕ БЕСПОКОИТЬ, только по вопросу покупки. Участок бывшего пионер лагеря. В собственности. Брали под загородный отель с рестораном и банкетной площадкой. Есть свой водоем (река Сушка). Правый поворот с Каширского шоссе из Москвы. на территории 7 зданий на кадастре , общей площадью более 4.000м2, требует капитального ремонта или реконструкции. Вода от скважины, очестные сооружения на  участке, требуется ремонт. 

Назначение - зона отдыха, рекреация, соседство с деревней Акулинино, 14 фото",https://www.cian.ru/sale/commercial/312799863
311417614,Продажа коммерческой земли,"512.0, сот.",,"Московская область, Домодедово городской округ, Домодедово, Новое Косино кп, ш. Каширское (50 км до МКАД), ш. Новокаширское (46 км до МКАД)","6000000 руб., УСН",+79850963790,"Продается земельный участок 512 сот. под сельскохозяйственное назначение.
Расположен по адресу: г.Домодедово, д.Косино.
Назначение участка: Растеневодство, Овощеводство, Садоводство (возможно изменить).
Участок  расположен на краю поселка Новое Косино, под высоковольтными линиями электропередач. Капитальные постройки возвести нельзя, только временные или некапетальные.

Электричество и газ по границе, дороги к участку из асфальтной крошки. Цена:  за весь 7 680 000 руб.,  возможна рассрочка или покупка частями от 2га., 2 фото",https://www.cian.ru/sale/commercial/311417614
316502925,Продажа коммерческой земли,"0.29, га",м. Подольск (23 мин на машине),"Московская область, Домодедово городской округ, Домодедово, ш. Каширское (19 км до МКАД), ш. Новокаширское (17 км до МКАД)","10000000 руб., УСН",+79850963790,"Эксклюзив. Продается земельный участок промышленного назначения 29 сот. (дополнительно 42,4 соток в подарок (в охранной зоне ЛЭП), весь участок составляет 71,4 сотки)  на второй линии Каширского  ш., г. Домодедово.
По генплану города Домодедово участок расположен в многофункциональной производственной зоне и может использоваться под торговлю, коммерцию, склады, офисы, стоянки, объекты дорожного сервиса, производство, гостиницы, спорт, отдых, объекты коммунального обслуживания. На данный момент назначение - Склады (возможно изменить).
На части участка которая располагается в охранной зоне ЛЭП можно делать открытую паковку, открытое хранение, по согласованию с электриками возводить строения.
Адрес: г. Домодедово, Каширское шоссе, 63-й километр. (35 км от МКАД), д. Купчинино.
Электричество по границе участка,  подведены дороги,  официальный заезд с Каширского ш.
Цена: 10 000 000 руб., возможна рассрочка. 
Есть и другие варианты участков., 3 фото",https://www.cian.ru/sale/commercial/316502925
320598038,Продажа коммерческой земли,"35.5, сот.",м. Домодедовская (28 мин на машине),"Московская область, Домодедово городской округ, Домодедово, ш. Каширское (19 км до МКАД), ш. Новокаширское (17 км до МКАД)","14200000 руб., УСН",+79682449679,"Продается земля пром назначения вдоль каширского шоссе, ВРИ склады. 
есть несколько участков., 5 фото",https://www.cian.ru/sale/commercial/320598038
309806367,Продажа коммерческой земли,"28.5, сот.",м. Подольск (29 мин на машине),"Московская область, Домодедово городской округ, Домодедово, 3-й километр А-107 тер., 5, ш. Каширское (35 км до МКАД), ш. Новокаширское (33 км до МКАД)","15500000 руб., УСН",+79820824968,"Арт. 80812313 Продается земельный участок промназначения 28,5 сот.

Есть возможность увеличения до 60 сот. 

Объект расположен по адресу: М.о., г.о. Домодедово.
На территории участка прямая видимость трассы А-107.
Удобное месторасположение, с быстрым выездом на А-107 (300 м. до трассы), ЦКАД, Симферопольское ш. (М-2) и Каширское ш. (М-4). 

Стоимость земельного участка: 15 500 000 руб. 

Коммуникации:
круглогодичный подъезд;
возможно подключение электричества.

Зона МФ - многофункционального использования.

Виды разрешенного использования:
объекты придорожного сервиса 4.9.1;
легкая промышленность 6.3;
фармацевтическая промышленность 6.3.1;
пищевая промышленность 6.4;
склады 6.9;
складские площадки 6.9.1 и др.

Более подробная информация по телефону., 9 фото",https://www.cian.ru/sale/commercial/309806367
305791724,Продажа коммерческой земли,"35.0, сот.",,"Московская область, Домодедово городской округ, Домодедово, Каширские Дачи кп, 1Б, ш. Каширское (43 км до МКАД), ш. Новокаширское (41 км до МКАД)","16500000 руб., УСН",+79850963790,"Эксклюзив. Продается земельный участок промышленного назначения 35 сот. (дополнительно 27 соток в подарок (в охранной зоне ЛЭП), весь участок составляет 62 сотки)  на первой линии  Каширского  ш., г. Домодедово.
По генплану города Домодедово участок расположен в многофункциональной производственной зоне и может использоваться под торговлю, коммерцию, склады, офисы, стоянки, объекты дорожного сервиса, производство, гостиницы, спорт, отдых, объекты коммунального обслуживания. На данный момент назначение - Скалы (возможно изменить).
На части участка которая  в охранной зоне ЛЭП можно делать паковку, открытое хранение, по согласованию с электриками возводить строения.
Адрес: г. Домодедово, Каширское шоссе, 63-й километр. (35 км от МКАД), д.Купчинино.
Электричество по границе участка,  подведены дороги,  официальный заезд с Каширского ш.
Цена: 14 781 600 руб. за сот. , возможна рассрочка.

Есть и другие участки на продажу., 3 фото",https://www.cian.ru/sale/commercial/305791724
316502903,Продажа коммерческой земли,"0.61, га",м. Подольск (23 мин на машине),"Московская область, Домодедово городской округ, Домодедово, ш. Каширское (19 км до МКАД), ш. Новокаширское (17 км до МКАД)","16550000 руб., УСН",+79850963790,"Эксклюзив. Продается земельный участок промышленного назначения 61 сот. (дополнительно 17 соток в подарок (в охранной зоне ЛЭП), весь участок составляет 78 соток)  на второй линии  Каширского  ш., г. Домодедово.
По генплану города Домодедово участок расположен в многофункциональной производственной зоне и может использоваться под торговлю, коммерцию, склады, офисы, стоянки, объекты дорожного сервиса, производство, гостиницы, спорт, отдых, объекты коммунального обслуживания. На данный момент назначение - Склады (возможно изменить).
На части участка которая располагается в охранной зоне ЛЭП можно делать открытую паковку, открытое хранение, по согласованию с электриками возводить строения.
Адрес: г. Домодедово, Каширское шоссе, 63-й километр. (35 км от МКАД), д. Купчинино.
Электричество по границе участка,  подведены дороги,  официальный заезд с Каширского ш.
Цена: 16 500 000 руб., возможна рассрочка. 
Есть и другие варианты участков., 6 фото",https://www.cian.ru/sale/commercial/316502903
320623658,Продажа коммерческой земли,"70.0, сот.",,"Московская область, Домодедово городской округ, Домодедово, Березки-Поздново тер., ш. Каширское (52 км до МКАД), ш. Новокаширское (50 км до МКАД)","17500000 руб., УСН",+79339378623,"Отличный ровный участок на территории промышленной площадки ""Поздново"".
Расположен в логистически удобном месте с хорошей транспортной доступностью.
Прямой съезд с Каширского шоссе, рядом трасса М-4 Дон.
Категория земель: Земли населенных пунктов
Широкий перечень Видов Разрешенного Использования (ВРИ).
ВРИ по документам: 
 — Легкая промышленность
— Фармацевтическая промышленность
— Пищевая промышленность
— Склады
— Складские площадки.
Внутри промышленной площадки дороги с твердым покрытием.
Все дополнительные вопросы по телефону.
Помощь в одобрении ипотеки.
Все с сделки с нашими объектами застрахованы на сумму до 30 млн. рублей.
Полное юридическое сопровождение на всех этапах сделки.
Оперативный показ, быстрый выход на сделку.

Арт. 100934870, 13 фото",https://www.cian.ru/sale/commercial/320623658
