ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320353929,Продажа коммерческой земли,"8.5, сот.",м. Нахабино (30 мин на машине),"Московская область, Истринский район, Истра, улица Морозова, 34, ш. Волоколамское (38 км до МКАД), ш. Пятницкое (39 км до МКАД)","18000000 руб., УСН",79163971379,"Уникальный участок 8,5 соток в центре Истры — готовый бизнес или жизнь в уединении с инфраструктурой под рукой! 
Преимущества участка:
1. Идеальное расположение:
1,5 км от монастыря — атмосфера и туристический поток  
— 800 м от Истринского парка — природа и отдых рядом  
— 2 минуты до центра города, всех магазинов, кафе и инфраструктуры- удобство без компромиссов  
—Оживленное проходное место- высокая проходимость для бизнеса
2. Коммуникации — всё готово:
— Септик на 12 человек (можно расширить)
— Водопровод магистральный- вода без проблем
— Электричество 15 кВт- хватит на любой проект
— Газ по границе участка — подведение не проблема за символическую плату
3. Возможности для вас:
— Мини-отель / гостевые домики — уже есть парковка на 6 машин !  
— Банный комплекс или кемпинг- вокруг лес, уединение с доступом к цивилизации, рядом река Истра
— Инвестиция- таких предложений больше нет на рынке!  
— Жилье мечты — загородная атмосфера в центре города
4. Транспортная доступность:
— Собствен ..., 19 фото",https://www.cian.ru/sale/commercial/320353929
310010080,Продажа коммерческой земли,"50.0, сот.",м. Нахабино (29 мин на машине),"Московская область, Истринский район, Истра, Восточный мкр, ш. Волоколамское (36 км до МКАД), ш. Пятницкое (37 км до МКАД)","37900000 руб., УСН",79853236083,"Продается участок для коммерческих целей.
Первая линия от дороги!
Участок ровный, правильной формы.

Микрорайон уже построен и заселен.
Но, в скором времени планируется расширение микрорайона!!

Участок граничит с жилым сектором и является перспективным для строительства коммерческого объекта!

Основные ВРИ зоны 0-1:
-Объекты торговли (торговые центры, торгово-развлекательные центры (комплексы);
-магазины;
-рынки,
-общественное питание;
-бытовые услуги;
-медицинское обслуживание;
-гостиничное обслуживание;
-Объекты придорожного сервиса;
-Выставочно-ярмарочная деятельность;
-спорт;
-развлечения;
-обслуживание автотранспорта;

Дополнительную информацию запрашивайте по телефону!, 4 фото",https://www.cian.ru/sale/commercial/310010080
306886692,Продажа коммерческой земли,"200.0, сот.",,"Московская область, Истринский район, Истра, Центральная улица, 3Б, ш. Новорижское (51 км до МКАД), ш. Волоколамское (53 км до МКАД)","14000000 руб., УСН",79945022360,"Код объекта: 1087088.
 Вашему вниманию предлагаются два участка земли 1,5 га и 0,5 га одним лотом. Общая площадь 2 га.

Оба участка расположены на берегу реки Истра, 500м от ж/д платформы ""Истра"".
Подъезд к участкам со стороны села Лучинское. До гравийной дороги от участков - 300 метров. До асфальтовой - ещё 300 метров.

Участок 1,5га: кадастровый номер 50:08:0060350:42.
Участок 0,5га: кадастровый номер 50:08:0060350:43.

Категория земель: земли сельскохозяйственного назначения.
Разрешённое использование: для сельскохозяйственного производства.
Адрес объекта отсутствует на Яндекс картах, поэтому указан ближайший. 
Координаты Яндекс-Карты: 55.903733, 36.847221

Юридическая составляющая:
Один собственник. Обременения отсутствуют. Свободная продажа. Быстрый выход на сделку. Помощь в одобрении и получении ипотечного кредита. Специальные условия и преференции от банков партнеров. Безопасность сделки и качество предоставляемых услуг обеспечивается стандартами Гильдии Риэлторов Москвы., 5 фото",https://www.cian.ru/sale/commercial/306886692
320021949,Продажа коммерческой земли,"50.0, сот.",м. Нахабино (30 мин на машине),"Московская область, Истринский район, Истра, улица Спортивная, 7, ш. Волоколамское (39 км до МКАД), ш. Пятницкое (40 км до МКАД)","75000000 руб., УСН",79803981667,"Продам земельный участок площадью 5000 кв.м расположен в г.Истра рядом с 
комплексом Арена-Истра. 
Кадастровый номер 50:08:0010303:290 
Форма собственности: долгосрочная аренда с правом выкупа за 15% от 
кадастровой стоимости 
Категория земель: земли населенных пунктов 
Виды разрешенного использования: 
• хранение автотранспорта 
• коммунальное обслуживание 
• предоставление коммунальных услуг 
• административные здания организаций, обеспечивающих предоставление  
коммунальных услуг 
• обеспечение деятельности в области гидрометеорологии и смежных с ней  
областях 
• служебные гаражи 
• автомобильные мойки 
• ремонт автомобилей 
• энергетика 
• атомная энергетика 
• связь 
• склады 
• складские площадки 
• автомобильный транспорт 
• трубопроводный транспорт 
• специальное пользование водными объектами 
• гидротехнические сооружения 
• земельные участки (территории) общего пользования 
• улично-дорожная сеть 
• благоустройство территории 
Преимущества: 
Получены разрешения на строительс ..., 24 фото",https://www.cian.ru/sale/commercial/320021949
319852126,Продажа коммерческой земли,"50.0, сот.",м. Нахабино (30 мин на машине),"Московская область, Истринский район, Истра, ш. Волоколамское (38 км до МКАД), ш. Пятницкое (39 км до МКАД)","32500000 руб., УСН",79150441120,"Индивидуальное предложение для light induastrial в Истре!
Предлагается к продаже четыре земельных участка площадью: 0,5Га, 0,42Га, 0,38Га и 0,3Га.
Расположение в сложившейся промзоне города с действующими предприятиями.
Качественные подъездные асфальтированные пути.
На каждом участке возможно размещение современного производственно-складского комплекса площадью 1 400кв.м.
При необходимости представляется возможность подключения к коммуникациям., 2 фото",https://www.cian.ru/sale/commercial/319852126
320054801,Продажа коммерческой земли,"98.7, сот.",,"Московская область, Истринский район, Истра, ш. Новорижское (50 км до МКАД), ш. Волоколамское (53 км до МКАД)","60000000 руб., УСН",79813667147,"Код объекта: 1694309.
 Учacток в Иcтре с ж/д вeткой! Ж/д путь (ж/д тупик) - 936 метров. Пpодaется зeмельный учacток прoмышлeннoгo нaзнaчения (Промка) -98.7 сот, c coбствeнной железнoдoрoжнoй веткой для эффeктивнoго инвeстирoвания и реaлизaции рaзличныx индустpиaльныx пpоектов. Учaстки в coбcтвeнноcти:  50:08:0060343:42 . Железнодорожный путь 936 метров (ж/д тупик) проходит по участку 50:08:0060350:96 и также находится в собственности как объект недвижимости. До ж/д станции Новоиерусалимская всего 500 метров. Прямая подача вагонов со станции, ППЖТ и другие подобные организации отсутствуют.В аренде участок 2 ГА с еще одним отдельным (повышенным) ж/д путем (действующая перевалка щебня). Второй путь принадлежит РЖД, арендная плата символическая. Расстояние до МКАД по Новорижскому шоссе - 50 км, по Волоколамскому шоссе - 44 км, по Пятницкому шоссе - 52 км. Расстояние до ЦКАД - 12 км. Участок находится в промышленном квартале, имеет большую санитарную зону, соседствует с Истринской нефтебазо ..., 4 фото",https://www.cian.ru/sale/commercial/320054801
314364698,Продажа коммерческой земли,"2.0, га",,"Московская область, Истринский район, Истра, Железнодорожная улица, 3Ас1, ш. Новорижское (50 км до МКАД), ш. Волоколамское (53 км до МКАД)","100000000 руб., УСН",79851483245,"Продается земельный участок промышленного назначения (Промка) 4 ГА (2 ГА в собственности + 2 ГА в аренде) с собственной железнодорожной веткой для эффективного инвестирования 
и реализации различных индустриальных проектов.
Участки в собственности:
50:08:0060343:41
50:08:0060343:42
50:08:0060350:96
Железнодорожный путь 936 метров (ж/д тупик) проходит по участку 50:08:0060350:96 и также находится в собственности как объект недвижимости. До ж/д станции Новоиерусалимская всего 500 метров. Прямая подача вагонов со станции, ППЖТ и другие подобные организации отсутствуют. 
В аренде участок 2 ГА с еще одним отдельным (повышенным) ж/д путем (действующая перевалка щебня). Второй путь принадлежит РЖД, арендная плата символическая.
Расстояние до МКАД по Новорижскому шоссе - 50 км, по Волоколамскому шоссе - 44 км, по Пятницкому шоссе - 52 км. Расстояние до ЦКАД - 12 км.
Участок находится в промышленном квартале, имеет большую санитарную зону, соседствует с Истринской нефтебазой с одной стороны и П ..., 2 фото",https://www.cian.ru/sale/commercial/314364698
307155465,Продажа коммерческой земли,"86.15, сот.",м. Нахабино (30 мин на машине),"Московская область, Истринский район, Истра, ш. Волоколамское (38 км до МКАД), ш. Пятницкое (39 км до МКАД)","102944470 руб., УСН",79947807249,"ID 260650. Участок под коммерческую и торговую застройку на ""Новой Риге"" . 150 кВт, Подключение к энергосетям. Электричество подходит к границам земельного массива. Также есть возможность подключения к магистральной газовой сети.


Номера участков: 13-14. Возможна покупка как нескольких участков, так и по отдельности. За более подробной информацией и ценой обращайтесь к нашему агенту.

Классификатор ВРИ склады будет в начале 2024.
Основные виды разрешенного использования ЗУ:
Зона КРТ-81
2.1.1. Малоэтажная многоквартирная жилая застройка;
2.3. Блокированная жилая застройка;
2.7. Обслуживание жилой застройки
2.7.1. Хранение автотранспорта
2.7.2. Размещение гаражей для собственных нужд
3.1. Коммунальное обслуживание
3.1.1. Предоставление коммунальных услуг
3.1.2. Административные здания организаций, обеспечивающих предоставление коммунальных услуг
3.2.2. Оказание социальной помощи населению;
3.2.3. Оказание услуг связи;
3.3. Бытовое обслуживание;
3.4.1. Амбулаторно-поликлиническое обслужи ..., 11 фото",https://www.cian.ru/sale/commercial/307155465
307155463,Продажа коммерческой земли,"178.12, сот.",м. Нахабино (30 мин на машине),"Московская область, Истринский район, Истра, ш. Волоколамское (38 км до МКАД), ш. Пятницкое (39 км до МКАД)","248477400 руб., УСН",79947807249,"ID 260647. Участок под коммерческую и торговую застройку на ""Новой Риге"" . 150 кВт, Подключение к энергосетям. Электричество подходит к границам земельного массива. Также есть возможность подключения к магистральной газовой сети.


Номера участков: 10-11-12. Возможна покупка как нескольких участков, так и по отдельности. За более подробной информацией и ценой обращайтесь к нашему агенту.

Классификатор ВРИ склады будет в начале 2024.
Основные виды разрешенного использования ЗУ:
Зона КРТ-81
2.1.1. Малоэтажная многоквартирная жилая застройка;
2.3. Блокированная жилая застройка;
2.7. Обслуживание жилой застройки
2.7.1. Хранение автотранспорта
2.7.2. Размещение гаражей для собственных нужд
3.1. Коммунальное обслуживание
3.1.1. Предоставление коммунальных услуг
3.1.2. Административные здания организаций, обеспечивающих предоставление коммунальных услуг
3.2.2. Оказание социальной помощи населению;
3.2.3. Оказание услуг связи;
3.3. Бытовое обслуживание;
3.4.1. Амбулаторно-поликлиническое обсл ..., 11 фото",https://www.cian.ru/sale/commercial/307155463
307155464,Продажа коммерческой земли,"99.31, сот.",м. Нахабино (30 мин на машине),"Московская область, Истринский район, Истра, ш. Волоколамское (38 км до МКАД), ш. Пятницкое (39 км до МКАД)","252247400 руб., УСН",79947807249,"ID 260648. Участок под коммерческую и торговую застройку на ""Новой Риге"" . 150 кВт, Подключение к энергосетям. Электричество подходит к границам земельного массива. Также есть возможность подключения к магистральной газовой сети.


Номера участков: 3-4-5. Возможна покупка как нескольких участков, так и по отдельности. За более подробной информацией и ценой обращайтесь к нашему агенту.

Классификатор ВРИ склады будет в начале 2024.
Основные виды разрешенного использования ЗУ:
Зона КРТ-81
2.1.1. Малоэтажная многоквартирная жилая застройка;
2.3. Блокированная жилая застройка;
2.7. Обслуживание жилой застройки
2.7.1. Хранение автотранспорта
2.7.2. Размещение гаражей для собственных нужд
3.1. Коммунальное обслуживание
3.1.1. Предоставление коммунальных услуг
3.1.2. Административные здания организаций, обеспечивающих предоставление коммунальных услуг
3.2.2. Оказание социальной помощи населению;
3.2.3. Оказание услуг связи;
3.3. Бытовое обслуживание;
3.4.1. Амбулаторно-поликлиническое обслужи ..., 11 фото",https://www.cian.ru/sale/commercial/307155464
