ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
316122867,Продажа коммерческой земли,"0.1288, га",м. Удельная (18 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, Промзона Тураево тер., с15, ш. Новорязанское ( км до МКАД), ш. Рязанское ( км до МКАД)","18340000 руб., УСН",79169577006,"936630 . Земельный участок 16 с асфальтовой площадкой в промышленном парке ""Лыткарино"". Первая линия Тураевского шоссе. Так как корректный адрес отсутствует на Яндекс.Картах, введен ближайший. Развитая инфраструктура. Сложившееся торгово-промышленное окружение. Удобный подъезд. Въезд только через КПП. Коммуникации: газ, электричество, артезианская скважина, канализация. Круглосуточная охрана., 4 фото",https://www.cian.ru/sale/commercial/316122867
313834242,Продажа коммерческой земли,"16.0, сот.",м. Домодедовская (29 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, ш. Рязанское (20 км до МКАД), ш. Новорязанское (20 км до МКАД)","20800000 руб., УСН",79153745790,"Арт. 95348837 Отличное предложение, с хорошей транспортной доступностью, в 20 минут езды от МКАД.
Участок площадью 1600м2. 
Ровной геометрической формы.

Категория земель- Земли населенных пунктов
Вид разрешенного использования- Производственная деятельность
На участок подведены эл. мощности. От 25 КВт до 100 кВт
Есть ГРП -9000куб/сутки.
Центральная канализация 
Подъезд-асфальтированная дорога.
Въезд только через КПП, круглосуточная охрана.
35 участок, 4 фото",https://www.cian.ru/sale/commercial/313834242
313558079,Продажа коммерческой земли,"24.0, сот.",м. Домодедовская (29 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, ш. Рязанское (20 км до МКАД), ш. Новорязанское (20 км до МКАД)","31200000 руб., УСН",79153745790,"Арт. 94722342 Отличное предложение, с хорошей транспортной доступностью, в 20 минут езды от МКАД.
Участок площадью 2400м2.
Категория земель- Земли населенных пунктов
Вид разрешенного использования- Производственная деятельность
На участок подведены эл. мощности.От 25 КВт до 100 кВт
Есть ГРП -9000куб/сутки.
Центральная канализация 
Подъезд-асфальтированная дорога.
Въезд только через КПП, круглосуточная охрана.
25 участок, 3 фото",https://www.cian.ru/sale/commercial/313558079
316110934,Продажа коммерческой земли,"0.27, га",м. Удельная (18 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, Промзона Тураево тер., с15, ш. Новорязанское ( км до МКАД), ш. Рязанское ( км до МКАД)","33750000 руб., УСН",79169577006,"936366 . Земельный участок 1 с асфальтовой площадкой в промышленном парке ""Лыткарино"". Первая линия Тураевского шоссе. Так как корректный адрес отсутствует на Яндекс.Картах, введен ближайший. Развитая инфраструктура. Сложившееся торгово-промышленное окружение. Удобный подъезд. Въезд только через КПП. Коммуникации: газ, электричество, артезианская скважина, канализация. Круглосуточная охрана., 4 фото",https://www.cian.ru/sale/commercial/316110934
313558074,Продажа коммерческой земли,"27.0, сот.",м. Домодедовская (29 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, ш. Рязанское (20 км до МКАД), ш. Новорязанское (20 км до МКАД)","33750000 руб., УСН",79153745790,"Арт. 94716659 Отличное предложение, с хорошей транспортной доступностью, в 20 минут езды от МКАД.
Участок площадью 2700м2, на первой линии.
Категория земель- Земли населенных пунктов
Вид разрешенного использования- Производственная деятельность
На участок подведены эл. мощности.
Подъезд-асфальтированная дорога.
1 участок, 4 фото",https://www.cian.ru/sale/commercial/313558074
313558077,Продажа коммерческой земли,"23.0, сот.",м. Домодедовская (29 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, ш. Рязанское (20 км до МКАД), ш. Новорязанское (20 км до МКАД)","34500000 руб., УСН",79153745790,"Арт. 94717868 Отличное предложение, с хорошей транспортной доступностью, в 20 минут езды от МКАД.
Участок площадью 2300м2.
Категория земель- Земли населенных пунктов
Вид разрешенного использования- Производственная деятельность
На участок подведены эл. мощности.От 25 КВт до 100 кВт
Есть ГРП -9000куб/сутки.
Центральная канализация 
Подъезд-асфальтированная дорога.
Въезд только через КПП, круглосуточная охрана.
4 участок, 4 фото",https://www.cian.ru/sale/commercial/313558077
316454960,Продажа коммерческой земли,"0.5, га",,"Московская область, Лыткарино городской округ, Лыткарино, Промзона Тураево тер., вл5, ш. Ярославское (28 км до МКАД), ш. Алтуфьевское (38 км до МКАД)","35000000 руб., УСН",79853234963,"Арт. 81271127. Продажа земельного участка промышленного назначения в новейшем Технопарке!

* Площадь предлагаемого участка: 0,5 ГА (5000 кв. м);
Также имеются другие участки разных размеров от 26 сот до 80 сот.
ОБЩАЯ ПЛОЩАДЬ ТЕХНОПАРКА более 90 ГА!!!

* Категория земель: Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, обеспечения космической деятельности, обороны, безопасности и иного специального назначения.

Транспортная доступность:
* Близость к Москве: Участок расположен всего в 25 км от МКАД по Ярославскому шоссе (М8), что обеспечивает быстрый доступ к столице и основным транспортным магистралям.
* Развитая дорожная сеть: Помимо Ярославского шоссе, удобный подъезд обеспечивается через Кудринское шоссе, что облегчает логистику и транспортировку грузов.
* Железнодорожное сообщение: В радиусе 23 км находятся железнодорожные станции ""Заветы Ильича"", ""Правда"" и ""Зеленоградская"", что предоставляет дополнительные возможности для грузовых и пас ..., 8 фото",https://www.cian.ru/sale/commercial/316454960
316110940,Продажа коммерческой земли,"0.35, га",м. Удельная (18 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, Промзона Тураево тер., с15, ш. Новорязанское ( км до МКАД), ш. Рязанское ( км до МКАД)","43750000 руб., УСН",79169577006,"936393 . Земельный участок 2 с асфальтовой площадкой в промышленном парке ""Лыткарино"". Первая линия Тураевского шоссе. Так как корректный адрес отсутствует на Яндекс.Картах, введен ближайший. Развитая инфраструктура. Сложившееся торгово-промышленное окружение. Удобный подъезд. Въезд только через КПП. Коммуникации: газ, электричество, артезианская скважина, канализация. Круглосуточная охрана., 5 фото",https://www.cian.ru/sale/commercial/316110940
316110943,Продажа коммерческой земли,"0.44, га",м. Удельная (18 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, Промзона Тураево тер., с15, ш. Новорязанское ( км до МКАД), ш. Рязанское ( км до МКАД)","55000000 руб., УСН",79169577006,"936459 . Земельный участок 3 с асфальтовой площадкой в промышленном парке ""Лыткарино"". Первая линия Тураевского шоссе. Так как корректный адрес отсутствует на Яндекс.Картах, введен ближайший. Развитая инфраструктура. Сложившееся торгово-промышленное окружение. Удобный подъезд. Въезд только через КПП. Коммуникации: газ, электричество, артезианская скважина, канализация. Круглосуточная охрана., 3 фото",https://www.cian.ru/sale/commercial/316110943
316124576,Продажа коммерческой земли,"0.48, га",м. Удельная (18 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, Промзона Тураево тер., с15, ш. Новорязанское ( км до МКАД), ш. Рязанское ( км до МКАД)","59000000 руб., УСН",79169577006,"936637 . Земельный участок 29 + два здания с асфальтовой площадкой в промышленном парке ""Лыткарино"". Первая линия Тураевского шоссе. Так как корректный адрес отсутствует на Яндекс.Картах, введен ближайший. Развитая инфраструктура. Сложившееся торгово-промышленное окружение. Удобный подъезд. Въезд только через КПП. Коммуникации: газ, электричество, артезианская скважина, канализация. Круглосуточная охрана.

Параметры: 
Общая площадь участка:4 800 м². 
Площадь здания 1 - 1 275,7 м². 
Площадь здания 2 - 213,3 м²., 6 фото",https://www.cian.ru/sale/commercial/316124576
313558075,Продажа коммерческой земли,"35.0, сот.",м. Домодедовская (29 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, ш. Рязанское (20 км до МКАД), ш. Новорязанское (20 км до МКАД)","59500000 руб., УСН",79153745790,"Арт. 94717689 Отличное предложение, с хорошей транспортной доступностью, в 20 минут езды от МКАД.
Участок площадью 3500м2, на первой линии.
Категория земель- Земли населенных пунктов
Вид разрешенного использования- Производственная деятельность
На участок подведены эл. мощности.От 25 КВт до 100 кВт
Есть ГРП -9000куб/сутки.
Центральная канализация 
Подъезд-асфальтированная дорога.
Въезд только через КПП, круглосуточная охрана.
2 участок, 4 фото",https://www.cian.ru/sale/commercial/313558075
316124579,Продажа коммерческой земли,"0.291, га",м. Удельная (18 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, Промзона Тураево тер., с15, ш. Новорязанское ( км до МКАД), ш. Рязанское ( км до МКАД)","69000000 руб., УСН",79169577006,"936661 . Земельный участок 28 с асфальтовой площадкой + часть здания (2-этажное общежитие + 2 бокса) в промышленном парке ""Лыткарино"". Первая линия Тураевского шоссе. Так как корректный адрес отсутствует на Яндекс.Картах, введен ближайший. Развитая инфраструктура. Сложившееся торгово-промышленное окружение. Удобный подъезд. Въезд только через КПП. Коммуникации: газ, электричество, артезианская скважина, канализация. Круглосуточная охрана.

Параметры:
Общая площадь участка:2 091 м². 
Площадь части здания: 750 м²., 4 фото",https://www.cian.ru/sale/commercial/316124579
313834239,Продажа коммерческой земли,"21.51, сот.",м. Домодедовская (29 мин на машине),"Московская область, Лыткарино городской округ, Лыткарино, ш. Рязанское (20 км до МКАД), ш. Новорязанское (20 км до МКАД)","77250000 руб., УСН",79153745790,"Арт. 95068441 Отличное предложение, с хорошей транспортной доступностью, в 20 минут езды от МКАД.
Участок площадью 2151м2.
Часть здания- 1000м2 (3 бокса)
Ворота-вноль
Категория земель- Земли населенных пунктов
Вид разрешенного использования- Производственная деятельность
На участок подведены эл. мощности.От 25 КВт до 100 кВт
Есть ГРП -9000куб/сутки.
Центральная канализация 
Подъезд-асфальтированная дорога.
Въезд только через КПП, круглосуточная охрана.
27 участок, 5 фото",https://www.cian.ru/sale/commercial/313834239
