ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
318492854,Продажа коммерческой земли,"1.0, га",м. Октябрьская (17 мин на машине),"Новосибирская область, Новосибирск, Ключ-Камышенское плато мкр, Ключ-Камышенский ЖК","250000000 руб., УСН","+79337877420, +79230753908","Продается земельный участок 1 Га под строительство многоквартирного жилого дома. Площадь участка: 9 997 кв. м
Кадастровый номер: 54:35:071935:1936 Технические условия получены. Коммуникации все подведены к участку.  Развивающийся перспективный район в шаговой доступности расположены детские сады, школа, поликлиника, магазины, кафе, ресторан, фитнес клуб, планетарий, сосновый бор, горнолыжный комплекс Иня., 5 фото",https://www.cian.ru/sale/commercial/318492854
317596339,Продажа коммерческой земли,"46.0, сот.",м. Березовая Роща (7 мин на машине),"Новосибирская область, Новосибирск, Европейская улица, 4/1","44000000 руб., УСН",+79137217409,"В продаже земельный участок, ориентировочный адрес: ул. Европейская, 4/1

Кадастровый номер: 54:35:000000:35554
Категория земель: земли промышленного назначения.
Участок правильной прямоугольной формы, ровный, 80*60м, без построек.
Асфальтированая дорога по границе участка
Электричество, газ, центральные канализация и водоснабжение
Участок огорожен, ТП находится на территории.
Без обременений, земля в собственности.
Удобная транспортная развязка",https://www.cian.ru/sale/commercial/317596339
316457488,Продажа коммерческой земли,"1.5, га",м. Октябрьская (29 мин на машине),"Новосибирская область, Новосибирск, улица Твардовского, 3","150000000 руб., УСН",+79830318334,"Прoдaётся зeмельный участок 1,5га с раcполoженным нa нём зданиeм плoщадью 452 кв.м. 
Тeхничecкиe уcлoвия:
заведён газ 95 куб
выделенныe мoщнoсти 200 кBт 
цeнтpализовaнноe водоcнaбжeниe
кaнaлизaция 
Учаcток oгоpoжeн. По пeриметру уcтанoвлено видeoнаблюдeниe. Шлагбаум.
Кaтегoрия земель - зeмли наcелённых пунктов.
Кaдастровый номер- 54:35:084700:55
Весь участок сдан в аренду.
Звоните, чтобы узнать детальную информацию и посмотреть объект., 7 фото",https://www.cian.ru/sale/commercial/316457488
310054720,Продажа коммерческой земли,"100.0, сот.",м. Площадь Ленина (3 мин пешком),"Новосибирская область, Новосибирск","2000000 руб., УСН","+79134730647, +79137217213","Продаются Земельные участки для агропромышленного (сельскохозяйственного) производства от 10 соток до 20 Га напрямую от девелопера в Агропромышленном парке.

Территория Агропромышленного парка расположена в 6 км от Новосибирска в Ордынском направлении (в районе с. Верх-Тула) и занимает общую площадь 160 Га.

Возможное использование (объекты бизнеса, которые можно разместить на земельном участке для сельскохозяйственного производства):
 Хранение и переработка сельхозпродукции, Теплицы
 Станции ремонта и гаражи спецтехники
 Скотоводство, Птицеводство, Зверо и свино фермы, Рыбоводство
 Выращивание сельхозкультур, Зернохранилища
 С/х производство
 Пчеловодство
 Питомник растений
 Выпас животных
 Личные подсобные хозяйства
 Овощехранилища

Транспортная доступность:
Проект расположен, на пересечении важнейших дорожно-транспортных артерий, что обеспечивает возможность выезда во всех четырех направлениях.

- Автомобильную дорогу регионального значения К-17р (Ордынская трасса). Прямой доступ в  ..., 2 фото",https://www.cian.ru/sale/commercial/310054720
315377275,Продажа коммерческой земли,"15.53, сот.",м. Площадь Маркса (14 мин на машине),"Новосибирская область, Новосибирск, Станционная улица","7000000 руб., УСН",+79833026988,"Предлагаем к покупке земельный участок, земли населенных пунктов. 
Земельный участок расположен в территориальной зоне ""Зона коммунальных и складских объектов"". Установлен градостроительный регламент. 
Получены технические условия для присоединения к электрическим сетям.

Участок ровный на первой линии, большой транспортный поток, рядом остановка общественного транспорта.
 Западный въезд в город. Является ключевой магистралью обеспечивающей транспортное сообщение с аэропортом Толмачево. 


Данный объект недвижимости прошел юридическую экспертизу и является абсолютно безопасным для покупки с целью проживания и вложения денежных средств. 
При покупке данного объекта возможен любой порядок оплаты. 
Специалист Компании ответит на все Ваши вопросы и организует просмотр в удобное для Вас время! Звоните прямо сейчас!
 Дополнительно оплачивается комиссия покупателем.

Арт. 98906578, 11 фото",https://www.cian.ru/sale/commercial/315377275
316060838,Продажа коммерческой земли,"1.0, га",м. Золотая Нива (11 мин на машине),"Новосибирская область, Новосибирск, Гусинобродское шоссе, 110","8500000 руб., УСН",+79130151279,"Инвестиции или собственный бизнес!
Землю больше не производят, а в городе космические цены.
Земли промышленности от 23 сот до 10000 сот, получаем ТУ 150 кВт, ТУ Газ.
Рассрочка беспроцентная на 12 мес.
25 минут метро Золота нива, 11 минут восточный обход.
Минимальное налогообложение (область).
Возможно строительство под ключ теплого склада 42 т.р. за метр, холодного 32 т.р.
Летом будет повышение цены.
Без комиссий!
Спешите, звоните!, 4 фото",https://www.cian.ru/sale/commercial/316060838
310054838,Продажа коммерческой земли,"100.0, сот.",м. Площадь Ленина (3 мин пешком),"Новосибирская область, Новосибирск","10000000 руб., УСН","+79134730647, +79137217213","Продаются Земельные участки под производственную деятельность от 1 до 10 Га напрямую от девелопера в Промышленном парке.

Территория Промышленного парка расположена в 6 км от Новосибирска в Ордынском направлении (в районе с. Верх-Тула) и занимает общую площадь 100 Га.

Объекты бизнеса, которые можно разместить на земельном участке:
 Производственная деятельность
 Склад, складские помещения

Транспортная доступность:
Проект расположен, на пересечении важнейших дорожно-транспортных артерий, что обеспечивает возможность выезда во всех четырех направлениях.

- Автомобильную дорогу регионального значения К-17р (Ордынская трасса). Прямой доступ в Казахстан, Среднюю Азию, страны Ближнего Востока.

- Автомобильную дорогу федерального значения Р-254 ""Иртыш"" Челябинск - Курган - Омск  Новосибирск. Прямой доступ в европейскую часть РФ, в т. ч. г. Москва, а также Кемерово, Красноярск, Иркутск, Дальний восток

- Транспортное сообщение с восточными и южными регионами Сибири обеспечено новой автомоби ..., 3 фото",https://www.cian.ru/sale/commercial/310054838
320361644,Продажа коммерческой земли,"6.0, сот.",м. Золотая Нива (6 мин на машине),"Новосибирская область, Новосибирск, Волочаевская улица, 224","16200000 руб., УСН",+79137520938,"К продаже предлагается земельный участок на первой линии ул. Волочаевская площадью 6.6 соток.

Локация:
- Расположен на перекрестке ул. Волочаевская и ГБШ;
- Большой автомобильный и пешеходный трафик;
- Парковка подземная и надземная;
- Высокая транспортная доступность;
 
Характеристики объекта:
- Общая площадь: 660 кв.м.:
- Вода центральная;
- Газ по границе участка;
- На участке расположен небольшой дом (под снос);

Привлекательность объекта:
- Рядом расположен большой транспортный узел(конечные остановки общественного транспорта,
пригородный автовокзал);
- Участок ровный, имеет правельную прямоугольную форму;
- Автомобильная доступность;
- Рядом расположены густонаселенные жилмассивы.

Потенциал:
- СТО;
- Автомойка;
- Общественное питание;
- Хостел;
- Торговый павильон;
- Склад;
- Стройматериалы.

Компания ""Жилфонд"":
- Более 25 лет на рынке недвижимости;
- Это крупная международная компания с представительствами как в зарубежных странах 
так и в более чем 20 регионах России;
- Огром ..., 6 фото",https://www.cian.ru/sale/commercial/320361644
316060718,Продажа коммерческой земли,"6.35, га",,"Новосибирская область, Новосибирск, Переездная улица, 1к5","16500000 руб., УСН",+79130151279,"Земельный участок 6,35 Га. на федеральной трассе Новосибирск-(Томск)-Кемерово-Красноярск-Иркутск.
Вороново 65 км. от Новосибирска, с левого на правый берег Новосибирска дольше ехать по времени.
Под строительство логистического центра, базы, склады, производство и т.д.
В городе за эту цену можно купить 10 соток, а тут 6,35 Га (земли населенных пунктов, промышленности).
Есть кадастровые номера зданий на участке под рекострукцию.
Рядом Газ. Со стороны администрации местного поселения помощь в подключений к сетям. Торг.
Возможен обмен на недвижимость., 12 фото",https://www.cian.ru/sale/commercial/316060718
316652389,Продажа коммерческой земли,"5.8, сот.",м. Маршала Покрышкина (24 мин пешком),"Новосибирская область, Новосибирск, Ипподромская улица, 52А","18000000 руб., УСН",+79137220570,"Площадь земельного участка: 583+/-8 кв.м.
Вид разрешенного использования земельного участка: для строительства станции технического обслуживания.
Местоположение земельного участка: город Новосибирск, улица Ипподромская.
Площадь застройки земельного участка в соответствии с проектом: 274 кв.м.
Форма собственности земельного участка: муниципальная, земельный участок находится во владении и пользовании Продавца на основании договора бессрочной аренды земельного участка.
Общая площадь объекта незавершенного строительства в соответствии с проектом: 691, 6 кв.м.
Проектируемое назначение объекта незавершенного строительства: нежилое здание.
Форма собственности объекта незавершенного строительства: частная собственность.
Разрешение на строительство: Ru 54303000-146, выдано 27.05.2013, срок действия до 27.12.2025г.
Степень готовности объекта незавершенного строительства: 25%.
В отношении объекта продажи получены технические условия для присоединения к электрическим сетям, мощность присоединяемы ..., 4 фото",https://www.cian.ru/sale/commercial/316652389
