ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320485787,Продажа коммерческой земли,"360.0, сот.",м. Одинцово (7 мин на машине),"Московская область, Одинцовский городской округ, Одинцово, 4 км Красногорского шоссе тер., 21, ш. Минское (12 км до МКАД), ш. Северный объезд Одинцова (10 км до МКАД)","490000000 руб., УСН",+79863239413,"Участок находится на первой линии Красногорского шоссе, на повороте к кладбищу Лайково (вблизи заправочной станции ОРТК) по направлению к Одинцово и выезду на платную дорогу. 

В 1 км жилой комлекс Рублевский квартал, а также микрорайон Город-Событие и городской округ Власиха.

Хороший трафик машин с Рублёво-Успенского шоссе. 

Хороший заезд и ровное покрытие на самом участке. 

Участок можно использовать для рынка, объектов торговли, торгового центра, кафе, спортивных объектов (падл, ледовый дворец, теннис, баня). Возможен мульти-формат. 


50:20:0000000:306877

35866 кв.м (360 соток) 

ВРИ - объекты торговли, включая торговые центры. 

Категория - земли населенных пунктов.

Электричество 200 КВт 
Вода, 4 фото",https://www.cian.ru/sale/commercial/320485787
320430239,Продажа коммерческой земли,"26.0, сот.",м. Одинцово (18 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, улица Яскино, ш. Минское (10 км до МКАД), ш. Можайское (10 км до МКАД)","54600000 руб., УСН","+79252861574, +77967044593","Продам земельный участок 26 сoт., прямоугольной формы под производство/склады, организацию гостиничного бизнеса. Отдельный въезд, первая линия от дороги. От ЖД станции Одинцово 3 км. Рядом с участком есть остановка общественного транспорта. Очень плотный трафик автомашин, рядом жилая зона, что позволяет использовать участок под разные задачи.

Без обременений, белая сделка. В собственности давно, продажа от юридического лица.
Можем сопроводить в документальных вопросах.
Прямой представитель собственника.

В настоящий момент участок находится в краткосрочной аренде. Прибыль 2млн.руб./год.

Вы могли найти нас по следующим запросам: ""Участок ИЖС"", ""Участок СНТ"", ""Земельный участок"", ""Продажа участка"", ""Участок под строительство"", ""Участок в Подмосковье"", ""Участок с коммуникациями"", ""Участок по Можайскому шоссе"", ""Участок по Минскому шоссе"", 9 фото",https://www.cian.ru/sale/commercial/320430239
320433969,Продажа коммерческой земли,"95.0, сот.",м. Одинцово (23 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, Южная улица, 3Б, ш. Минское (11 км до МКАД), ш. Можайское (11 км до МКАД)","199500000 руб., УСН","+79230770327, +79230789952","Продам земельный участок 95 сoт., прямоугольной формы под производство/склады, транспортную базу. На участке Административное здание, назначение: нежилое, площадь 199,4 кв.м. Присвоен кадастровый номер.

Отдельный въезд, первая линия от дороги. От ЖД станции Одинцово 3 км. Рядом с участком есть остановка общественного транспорта. Очень плотный трафик автомашин, рядом жилая зона, что позволяет использовать участок под разные задачи.

Без обременений, белая сделка. В собственности давно, продажа от юридического лица.
Можем сопроводить в документальных вопросах.
Прямой представитель собственника.

В настоящий момент участок находится в краткосрочной аренде. Прибыль 7млн.руб./год.

Вы могли найти нас по следующим запросам: ""Участок ИЖС"", ""Участок СНТ"", ""Земельный участок"", ""Продажа участка"", ""Участок под строительство"", ""Участок в Подмосковье"", ""Участок с коммуникациями"", ""Участок по Можайскому шоссе"", ""Участок по Минскому шоссе"", 4 фото",https://www.cian.ru/sale/commercial/320433969
314206271,Продажа коммерческой земли,"3.08, сот.",м. Одинцово (4 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, Можайское шоссе, 20А, ш. Минское (8 км до МКАД), ш. Можайское (8 км до МКАД)","19500000 руб., УСН",+79802807509,"Лучшая локация в Одинцово! Единственная транспортная и пешая дорога к вокзалу и рынку!
Всегда высокий трафик!
   Земельный участок 3.1 сотки в собственности. Назначение-магазины. Центр Одинцово на пересечение Можайского шоссе с улицей Свободы, в 150 метрах от станции МЦД. 

    Благоустроен. Возможно строительство магазина, размещение торговых павильонов, автомойки и прочие виды деятельности. 
    Все коммуникации по границе участка.

    Всегда востребованная локация. Лучшее предложение как для организации бизнеса, так и для стабильного получения дохода от аренды. 

    В собственности физического лица. Ипотека возможна. Быстрый выход на сделку., 6 фото",https://www.cian.ru/sale/commercial/314206271
314327720,Продажа коммерческой земли,"25.5, сот.",м. Одинцово (14 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, Вокзальная улица, 23Ас1, ш. Минское (7 км до МКАД), ш. Можайское (7 км до МКАД)","50000000 руб., УСН",+79230752594,"Продаётся идеальный земельный участок для инвестиций и строительства!

Представляем вашему вниманию уникальный земельный участок площадью 2542 м² с кадастровым номером 50:20:0030107:59, расположенный в динамично развивающемся районе с плотной жилой застройкой. Эта площадка идеально подойдёт для реализации амбициозных строительных проектов!

Коммуникации: 28кв.т света, газ по границе участка, теплоснабщение центральное городское, Канализация центральная городская, вода своя скважина 50куб/ч.

 Основные сведения:
- Назначение: Земли населённых пунктов, вид разрешенного использования разнообразен и меняется по заявлению, на текущий момент это взу.
- Полная свобода действий: Бывший водозаборный узел и водонапорная башня, находящиеся на участке, давно не используются и подлежат сносу. Суд подтвердил отсутствие социально значимого статуса, что даёт вам полную свободу в выборе дальнейшего использования участка.
- Все документы в порядке: У нас есть полный комплект технической документации, вк ..., 5 фото",https://www.cian.ru/sale/commercial/314327720
319652609,Продажа коммерческой земли,"0.2574, га",м. Одинцово (14 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, улица Восточная, 2а, ш. Минское (8 км до МКАД), ш. Можайское (8 км до МКАД), ш. Боровское (8 км до МКАД)","95000000 руб., УСН",+79921281045,"Уникальный номер - 10999-341
Земельный участок под строительство.
Удобное расположение: 8 км. до МКАД.
Добавьте объявление в избранное, чтобы не упустить выгодное предложение!

Подойдет для постройки объектов индустриальной недвижимости
ГПЗУ получены.
Электричество: ТУ на 150 кВт
Водоснабжение : муниципальные сети
Водоотведение: муниципальные сети
Газ: магистраль
До Минского шоссе 1,3 км
До Можайского шоссе 2,2 км
ВРИ: склады. 

Удобный заезд.
Все условия для комфортной работы.
Подробности по запросу

Почему стоит обращаться к нам:
1) Работаем с 2014 года
2) Специализируемся только на индустриальной и складской недвижимости
3) У нас одна из самых больших баз собственников и клиентов
4) Не берём комиссию с арендаторов/покупателей.  

Подберем оптимальное решение под ваши задачи. Звоните!
 Транспортная доступность: Минское (М-1) ш., Можайское (А-100) ш.;  Удаленность от МКАД: 8 км;  .Площадь к продаже: 0.2574 га.;  Стоимость продажи: 95 000 000 руб.  НДС не облагается;, 3 фото",https://www.cian.ru/sale/commercial/319652609
313272733,Продажа коммерческой земли,"90.0, сот.",м. Внуково (16 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, Одинцово-1 ЖК, ш. Можайское (9 км до МКАД), ш. Минское (12 км до МКАД)","250000000 руб., УСН",+79153745790,"Арт. 91750396 Пpoдам зeмeльный учacток в Одинцово площaдью 0,9 га (9000 м2). Учaсток нaxoдитcя в самом гopoдe, c удобными подъездными путями, вoкpуг многo новoго жилья (ЖK Пикa пpимыкaют к учаcтку).
Haзначeниe пoд СKЛАДЫ, ПРOИЗBОДСTВО (в том числе пищевое). ГПЗУ есть.
Вcе кoммуникации нa учaстке (газ, вoда, пожaрный водопровoд, кaнaлизaция, элeктpичecтвo).
По существующему гпзу нет ограничений по этажности и площади застройки. Реальным поупателям хороший торг. Без комиссии, 5 фото",https://www.cian.ru/sale/commercial/313272733
295018957,Продажа коммерческой земли,"16.2, сот.",м. Одинцово (13 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, улица Маковского, ш. Минское (10 км до МКАД), ш. Можайское (10 км до МКАД)","20000000 руб., УСН",+79339366718,"Продаётся Земельный участок в Московской области, городе Одинцово, улица Маковского, Минское шоссе, от МКАД 10 км.
Общая площадь земельного участка 16, 2 соток. Удобная транспортная доступность, рядом развитая инфраструктура, асфальтированная дорога. 
Категория земли: земли населенных пунктов, разрешённое использование: под строительство многоэтажной стоянки. 
Коммуникации по границе участка. 
Остались вопросы, звоните !
Кад номер 50:20:0030205:1264, 7 фото",https://www.cian.ru/sale/commercial/295018957
278871166,Продажа коммерческой земли,"18.15, сот.",м. Одинцово (10 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, Интернациональная улица, 11, ш. Минское (8 км до МКАД), ш. Можайское (8 км до МКАД)","35500000 руб., УСН",+79164319550,"В центре города Одинцово продается земельный участок, кадастровый номер: 50:20:0030118:89.
Категория земель: земли населенных пунктов, разрешенное использование: рынки, магазины, общественное питание, гостиничное обслуживание.
Общая площадь земельного участка 1815 квадратных метров.
Участок ровный , прямоугольной формы (18*100 метров), находится в парке рядом с главным храмом Одинцово - Собором Георгия Победоносца. Рядом с участком проходит многолюдная пешеходная асфальтированная дорога, очень плотный трафик проходимости, удобная транспортная доступность. До МЦД Одинцово 600 метров. В шаговой доступности вся городская инфраструктура, Администрация города, главная городская площадь и парк.
Собственник АО ""ЗАРУБЕЖ-ЭКСПО"" (ИНН 7704504448, ОГРН 1037739933912).
Документы готовы к сделке. Объект без обременений. Собственник - юридическое лицо. Свободная продажа. Содействие в получении ипотеки.
Приобретали земельный участок для строительства на нем выставочного центра, так как основным видом  ..., 5 фото",https://www.cian.ru/sale/commercial/278871166
315492291,Продажа коммерческой земли,"20.0, сот.",м. Сколково (18 мин пешком),"Московская область, Одинцовский городской округ, Одинцово, Новая Трехгорка мкр, улица Кутузовская, 26В, ш. Минское (5 км до МКАД), ш. Можайское (5 км до МКАД)","70000000 руб., УСН",+79853391010,"В центpe городa Трехгорка прoдаeтся зeмельный участoк, кадaстpoвый нoмep: 50:20:0010336:46538
Категopия земель: земли насeленных пунктов, разрешeннoe испoльзованиe: магазины, oбслуживаниe жилой застройки. 
Oбщая площадь зeмельногo учаcткa  1030. на участке имеется электричество , газ , вода , канализация. Так же на участке имеется действующий арендный бизнес! 
Рядом с участком проходит многолюдная пешеходная асфальтированная дорога, очень плотный трафик проходимости, удобная транспортная доступность.
Документы готовы к сделке. Объект без обременений. Собственник - юридическое лицо. Свободная продажа. Содействие в получении ипотеки., 28 фото",https://www.cian.ru/sale/commercial/315492291
