ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
308915402,Продажа коммерческой земли,"14.8, сот.",м. Алабинская (18 мин на машине),"Самарская область, Самара, Кабановская улица, 44","8000000 руб., УСН",+79337832028,"Адрес объекта отсутствует на Яндекс картах, поэтому указан ближайший. точный адрес: Белорусская/Кабановская, Сухая Самарка.


Предлагается в продажу шикарный участок не имеющих аналогов на рынке недвижимости. Участок прямоугольный. Первая линия дороги. Огромный авто трафик, рядом с помещением ресторан.На данный момент производится отсыпка грунта и выравнивание участка. Свет, вода, газ на границе. 
Длинна фасадной части 66 метров. 
Категория земель : Земли населенных пунктов. Вид разрешенного использования : СНТ., 4 фото",https://www.cian.ru/sale/commercial/308915402
303856818,Продажа коммерческой земли,"0.292, га",м. Алабинская (5 мин на машине),"Самарская область, Самара, улица Братьев Коростелевых, 47","160000000 руб., УСН",+79878185750,"- 1 линия
- Назначение земли - ИЖС
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Асфальт
- Твердое покрытие участка
По всем вопросам можете обращаться к представителю собственника: Павел Р.
Помощь с оформлением ипотеки и покупки в лизинг.


Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 8 фото",https://www.cian.ru/sale/commercial/303856818
303856820,Продажа коммерческой земли,"0.997, га",м. Победа (16 мин пешком),"Самарская область, Самара, Сердобская улица, 8","320000000 руб., УСН",+79878185750,"- 1 линия
- Назначение земли - ИЖС
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Асфальт, Грунт
- Покрытие участка - грунт
По всем вопросам можете обращаться к представителю собственника: Павел Р.
Помощь с оформлением ипотеки и покупки в лизинг.


Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 12 фото",https://www.cian.ru/sale/commercial/303856820
303796965,Продажа коммерческой земли,"0.997, га",м. Алабинская (6 мин на машине),"Самарская область, Самара, улица Братьев Коростелевых, 3","350000000 руб., УСН",+79878185750,"- 1 линия
- Назначение земли - ИЖС
- Имеются строения на участке
- Подъездные пути: Ж/д ветка
- Виды дорожного покрытия: Асфальт
- Твердое покрытие участка

По всем вопросам можете обращаться к представителю собственника: Павел Р.
Помощь с оформлением ипотеки и покупки в лизинг.


Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 5 фото",https://www.cian.ru/sale/commercial/303796965
303854833,Продажа коммерческой земли,"0.481, га",м. Алабинская (6 мин на машине),"Самарская область, Самара, улица Буянова, 6","575000000 руб., УСН",+79878185750,"- 1 линия
- Назначение земли - ИЖС
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Асфальт, Грунт
- Твердое покрытие участка
По всем вопросам можете обращаться к представителю собственника: Павел Р.
Помощь с оформлением ипотеки и покупки в лизинг.


Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 6 фото",https://www.cian.ru/sale/commercial/303854833
316477176,Продажа коммерческой земли,"0.0018, га",м. Спортивная (14 мин пешком),"Самарская область, Самара, Аэродромная улица, 102","1100000 руб., УСН",+79878185750,"Продается земельный участок расположенный по улице Аэродромная между домами 102 и 102 А.

Участок в собственности 18, м. кв. 
Строение по документам 14,4 м. кв ( по факту строение снесено).
Рассмотрим сдачу в аренду под установку павильона.

Елена Т.
Помощь с оформлением ипотеки и покупки в лизинг.


Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 6 фото",https://www.cian.ru/sale/commercial/316477176
232852258,Продажа коммерческой земли,"6.0, сот.",м. Безымянка (7 мин на машине),"Самарская область, Самара, Товарная улица, 5с1","2157000 руб., УСН",+79871662248,"Земельный участок на территории крупной базы продаю. Предоставляем точки подключения к воде, канализации, центральному отоплению, электричеству., 3 фото",https://www.cian.ru/sale/commercial/232852258
316483103,Продажа коммерческой земли,"0.0599, га",м. Безымянка (13 мин на машине),"Самарская область, Самара, Авиатор ДСПК, 7-я линия","3100000 руб., УСН",+79878185750,"- 1 линия
- Назначение земли - СНТ
- Коммуникации: Газ, Электричество, Вода
- Отсутствуют строения на участке
- Виды дорожного покрытия: Грунт
- Покрытие участка - грунт

Дополнительная информация:
Газ на соседней улице
Рядом строится автотрасса
По всем вопросам можете обращаться к представителю собственника: Павел Р
Помощь с оформлением ипотеки и покупки в лизинг.


Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 2 фото",https://www.cian.ru/sale/commercial/316483103
316478054,Продажа коммерческой земли,"0.008, га",м. Безымянка (8 мин на машине),"Самарская область, Самара, 12-й мкр","5500000 руб., УСН",+79878185750,"От собственника! Без комиссии!
Продажа земельного участка площадью 80 кв.м
Расположение: Кировский район, ул. С. Загора / Г. Димитрова
- Удобная транспортная развязка.
- Категория земель: Земли населенных пунктов
- Вид разрешенного использования: для использования в рекреационных целях, под размещение
некапитальных строений
- Есть возможность подключения к водоснабжению, водоотведению ( официальный ответ от РКС)
- Есть возможность подведения газа (официальный ответ от СВГК)
- ТУ по свету на 15 Квт в работе.
- Быстрый выход на сделку
По всем интересующим вопросам можете обащаться к представителю собственника: Елена, 6 фото",https://www.cian.ru/sale/commercial/316478054
306764913,Продажа коммерческой земли,"18.5, сот.",м. Безымянка (8 мин на машине),"Самарская область, Самара, Товарная улица, 5Б","7800000 руб., УСН",+79871662248,"Земельный участок ( по документам на разделен на 3 отдельных участка)  с правом собственности.
Назначение - земли населенных пунктов, для размещения базы.
Участок расположен на территории базы. Есть возможность подключиться к центральному отоплению, воде, канализации, электроэнергии., 3 фото",https://www.cian.ru/sale/commercial/306764913
316478342,Продажа коммерческой земли,"0.043, га",м. Алабинская (8 мин на машине),"Самарская область, Самара, улица Куйбышева, 5","7900000 руб., УСН",+79878185750,"От собственника! Без комиссии!
Продам земельный участок 4.3 сотки на первой линии ул. Куйбышева. 

На участке расположен дом 114 кв.м. 
И дом и земельный участок в собственности. 
Исторический центр города, в 2-х кварталах от площади Революции. Получено ГПЗУ.
Подойдет для строительства как жилого дома, так и коммерческой недвижимости любого назначения.
Торг.

По всем вопросам можете обращаться к представителю собственника: Алёна М., 4 фото",https://www.cian.ru/sale/commercial/316478342
319618226,Продажа коммерческой земли,"4.4, сот.",м. Алабинская (8 мин на машине),"Самарская область, Самара, улица Куйбышева, 5","9500000 руб., УСН",+79337832028,"Продаётся участок площадью 5 соток, расположенный на первой линии улицы Куйбышева возле нового Фрунзенского моста. 
Участок оборудован строением размером около 100 квадратных метров, которое не имеет статуса объекта культурного наследия. Возможность расширенного использования территории позволяет реализовать различные проекты коммерческой направленности. 
Удобное расположение обеспечивает хорошую видимость с дороги, а коммуникации подведены непосредственно к границам участка. 
Это отличное предложение для тех, кто ищет привлекательное место под ведение бизнеса или строительство коммерческих объектов., 8 фото",https://www.cian.ru/sale/commercial/319618226
316481131,Продажа коммерческой земли,"0.06, га",м. Безымянка (18 мин на машине),"Самарская область, Самара, Волжское шоссе, 13к1","10000000 руб., УСН",+79878185750,"Продается земельный участок на первой линии Волжского шоссе, расположенный по адресу: г. Самара, Красноглинский р-н, пос. Сорокины Хутора, 
Возможна продажа от 4 соток. Возможна аренда
- 1 линия
- Удобный подъезд.
- На участке стоит фундамент.
Звоните, договоримся о времени просмотра.

Eлена Т., 12 фото",https://www.cian.ru/sale/commercial/316481131
316477832,Продажа коммерческой земли,"0.02, га",м. Безымянка (7 мин на машине),"Самарская область, Самара, Черемшанская улица, 145","10900000 руб., УСН",+79878185750,"Продажа модульного строения на земельном участке.
Земельный участок с павильоном на первой линии рядом с плотной многоэтажной застройкой на пересечении улиц Майская, Ставропольская.
На участок подведено электричество 15 КВт.
По периметру участка залит фундамент 10*20 (Фундамент рассчитан на 5 этажное строение).
Центральное водоснабжение и водоотведение в процессе оформления. Есть скважина.
На участке модульное строение 10,5*10.
Арендатор Детейлинг.

По просмотру звоните заранее,  чтобы договориться об удобном времени
Елена

Добавьте это объявление в ""избранное"" - чтобы не потерять., 7 фото",https://www.cian.ru/sale/commercial/316477832
