ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
318467457,Продажа коммерческой земли,"200.0, сот.",м. Физтех (17 мин на машине),"Московская область, Химки городской округ, Химки, Клязьма кв-л, ш. Ленинградское (12 км до МКАД), ш. Дмитровское (14 км до МКАД)","250000000 руб., УСН",+79862540451,"Готовый участок под строительство логистического складского комплекса, офисов, объектов light industrial, гостиниц. 

Объект состоит из прямоугольного земельного участка с кадастровым номером 50:10:0020803:1248 - 20 000 кв. м.

Расположен рядом с а/п Шереметьево.

Категория земель: Земли населенных пунктов. 
Функция по ГП и ПЗЗ: Многофункционально общественно деловая. 

Возможные виды разрешенного использования: склады, объекты торговли, деловое управление (офисы), гостиничное обслуживание, обслуживание автотранспорта и др. (более 30 возможных видов многофункциональной общественно-деловой застройки)., 12 фото",https://www.cian.ru/sale/commercial/318467457
307220917,Продажа коммерческой земли,"344.82, сот.",м. Подрезково (25 мин пешком),"Московская область, Химки городской округ, Химки, проезд Тепличный, 1, ш. Ленинградское (11 км до МКАД), ш. Пятницкое (19 км до МКАД)","482748000 руб., УСН",+79862540451,"Готовый участок под строительство логистического складского комплекса, офисов, объектов light industrial, гостиниц. 

Объект состоит из одного земельного участка:
50:10:0040303:1436 - 34 482 кв. м

Расположен рядом с а/п Шереметьево, рядом с Ленинградским (700 м) шоссе.

Газ и электричество есть по границе земельного участка
Воды и канализации нет, подскажем от куда можно протянуть.

Категория земель: Земли населенных пунктов. 
Функция по ГП и ПЗЗ: Многофункционально общественно деловая., 12 фото",https://www.cian.ru/sale/commercial/307220917
288854747,Продажа коммерческой земли,"0.24, га",м. Молжаниново (9 мин на машине),"Московская область, Химки городской округ, Химки, Новогорск мкр, улица Ивановская, ш. Ленинградское (9 км до МКАД), ш. Куркинское (9 км до МКАД)","70000000 руб., УСН","+79230772549, +79162613721","Собственник продает земельный участок (категория: земли населенных пунктов, вид разрешенного использования - обслуживание жилой застройки), площадью 2375 кв.м., расположенный по адресу: Московская область, Химки, п.Новогорск (бывшее поселения Ивановское) на против дома 1 по ул.Ивановская. Рядом расположены элитный пос.Новогорск 7, клиническая больница ФМБА России 119, новый жилой микрорайон. Хорошее месторасположение, перспективное место для коммерческой застройки, электричество, все коммуникации по границе участка., 10 фото",https://www.cian.ru/sale/commercial/288854747
319369087,Продажа коммерческой земли,"11.3, сот.",м. Планерная (9 мин на машине),"Московская область, Химки городской округ, Химки, Юбилейный проспект, 47, ш. Ленинградское (2 км до МКАД), ш. Пятницкое (9 км до МКАД)","10990000 руб., УСН",+79230718519,"Арт. 109230485 Вашему вниманию предлагается земельный участок в черте города Химки по адресу Юбилейный проспект 47. На участок получены ТУ для подключения канализации и водопровода, установлен собственный элетрощит и выделено 150 квт. электричества. Разрешение на капитальное строительство магазина площадью 180 кв.м. получено. Площадь 180 метров это площадь первого этажа. Проектом предусмотрена антресоль, которая увеличит площадь строения вдвое!

ВАЖНО! Продажа осуществляется посредством продажи Юр.лица, на которое оформлены все разрешения и договор аренды земли. После постройки и оформления магазина в собственность возможно оформление участка в собственность, а после и увеличение площади магазина посредством пристройки дополнительных быстровозводимых конструкций.  Предложение целесообразно рассматривать к покупке, если вы готовы строить здание, на которое получено разрешение на строительство! Согласовать капитальное строительство здания большей площади на данном участке, пока он находи ..., 13 фото",https://www.cian.ru/sale/commercial/319369087
320287845,Продажа коммерческой земли,"0.25, га",м. Фирсановская (23 мин пешком),"Московская область, Химки городской округ, Химки, Фирсановка мкр, Фирсановка Парк ЖК, ш. Ленинградское (16 км до МКАД), ш. Новосходненское (16 км до МКАД)","20000000 руб., УСН",+79682390815,"Собственник продаёт перспективный земельный участок с возможностью возведения жилой застройки и не только. Удаленность от МКАД 16 км по Ленинградскому ш., Мкр. Фирсановка, живописное место в окружении частной коттеджной застройки на берегу р. Сходня. Участок ровный, правильной формы.
Вложитесь сегодня - в своё обеспеченное завтра!
Цена объекта: 20 млн. р.
КН 50:10:0050205:323
Площадь ЗУ: 24,85 сот.
Размеры: 95 м. (по длинной стор.) 82 м. (по короткой) х 30 м.
Категория земель: Земли населенных пунктов.
Виды разрешенного использования: Для строительства и эксплуатации спортивных плоскостных сооружений и вспомогательных помещений; для малоэтажного жилищного строительства; для строительства, организации и эксплуатации базы отдыха с объектами многофункционального назначения.
Небольшой торг при быстром выходе на сделку!, 6 фото",https://www.cian.ru/sale/commercial/320287845
318610012,Продажа коммерческой земли,"93.0, сот.",м. Беломорская (12 мин на машине),"Московская область, Химки городской округ, Химки, Солнечная Система ЖК, ш. Ленинградское (5 км до МКАД), ш. Пятницкое (13 км до МКАД)","49000000 руб., УСН",+79230740635,"id:12297. 
Продаётся земельный участок по переуступке прав аренды на 49 лет, с правом выкупа по льготной цене, от юридического лица., 8 фото",https://www.cian.ru/sale/commercial/318610012
313169688,Продажа коммерческой земли,"1.1, га",м. Молжаниново (9 мин на машине),"Московская область, Химки городской округ, Химки, проезд Коммунальный, ш. Ленинградское (4 км до МКАД), ш. Пятницкое (12 км до МКАД)","60000000 руб., УСН",+79850264997,"МОЖНО СТРОИТЬСЯ !  ЗЕМЛЯ ТОЛЬКО ДОРОЖАЕТ!!! ТУ на подключение 500 кВт , центральную воду/канализацию /отопление ! пятно застройки 2 300 кв.м. по первому этажу , с согласованием с Россетями этажность возможна до 4-х! общая площадь капитального строения в районе 10 тыс .кв., плюс посадка легковозводимых строений   ( по закону можно ставить до 1000 кв.м. , высотой до 6 м каждое здание )  без получения разрешения на строительство , оформив их как не капительные строения , контакт оформителей  дадим  ! Условия сделки: Продажа прав, долгосрочная аренда на 49 лет, 2-х земельных участков кадастровые номера : 50:10:010317:49  и 50:10:0010317:44 , оба договора аренды от 2009 года , все коммуникации, участки граничат с ЖК Солнечная Система , школа  Лидер, более подробно по телефону! ВОЗМОЖНА РАССРОЧКА ПЛАТЕЖА на покупку права аренды ! ЗВОНИТЕ, все обсудим ) это будет Ваше лучшее вложение , вложение в ЗЕМЛЮ !, 11 фото",https://www.cian.ru/sale/commercial/313169688
320619751,Продажа коммерческой земли,"99.6, сот.",м. Беломорская (12 мин на машине),"Московская область, Химки городской округ, Химки, шоссе Вашутинское, ш. Ленинградское (6 км до МКАД), ш. Пятницкое (14 км до МКАД)","95000000 руб., УСН",+79160108577,"Уникальное предложение для Вашего бизнеса. Таких вариантов нет. Объект состоит из 2-х земельных участков с кадастровыми номерами: 50:10:0020203:248, 50:10:0020203:250. Объект отмежеван и огорожен, проведено электричество 400 кВТ с возможностью увеличения до 1000 кВТ, установлены и опломбированы счетчики, проведен интернет. Категория земель: земли населенных пунктов, разрешенное использование: производственная деятельность. 
Возможные виды разрешенного использования: склады, объекты торговли, деловое управление (офисы), гостиничное обслуживание, обслуживание автотранспорта и др. (более 30 возможных видов многофункциональной общественно-деловой застройки. Объект продается  по переуступке прав аренды на 49 лет (до 04.08.2060 года), с правом выкупа по льготной цене, от физического лица., 6 фото",https://www.cian.ru/sale/commercial/320619751
320619900,Продажа коммерческой земли,"149.8, сот.",м. Беломорская (12 мин на машине),"Московская область, Химки городской округ, Химки, шоссе Вашутинское, ш. Ленинградское (6 км до МКАД), ш. Пятницкое (14 км до МКАД)","160000000 руб., УСН",+79160108577,"Уникальное предложение для Вашего бизнеса. Таких вариантов нет. Объект состоит из 3-х земельных участков с кадастровыми номерами: 50:10:0020203:248, 50:10:0020203:249, 50:10:0020203:250. Объект отмежеван и огорожен, проведено электричество 400 кВТ с возможностью увеличения до 1000 кВТ, установлены и опломбированы счетчики, проведен интернет, сделан котлован под капитальный фундамент (на участке 50:10:0020203:249)  площадь 1080 кв.м, зарыты 2 емкости по 3 куба (участок планировали использовать под автосервис), обвязка арматуры по котловану, проект на 1080 кв.м под автосервис, оплачен бетон - 330-350 кубов и фермы на площадь 1080 кв.м. Категория земель: земли населенных пунктов, разрешенное использование: производственная деятельность. 
Возможные виды разрешенного использования: склады, объекты торговли, деловое управление (офисы), гостиничное обслуживание, обслуживание автотранспорта и др. (более 30 возможных видов многофункциональной общественно-деловой застройки. Объект продается  по  ..., 8 фото",https://www.cian.ru/sale/commercial/320619900
318589891,Продажа коммерческой земли,"1.23, га",м. Сходня (16 мин пешком),"Московская область, Химки городской округ, Химки, Сходня мкр, Октябрьская улица, 35, ш. Ленинградское (14 км до МКАД), ш. Новосходненское (14 км до МКАД)","180000000 руб., УСН",+79161961359,"Участок 1,23 га (промназначения)

 Продaeтcя земeльный учaсток 123 сотки, из кoтоpых 70 coтoк в cобственнocти и 53 в apeндe, на участке eсть вce кoммуникaции, получeнo 2 pазpeшeния на cтрoитeльство пpоизводствeнно-склaдcких здaний. Плoщадь каждoгo из 2х зданий 1460кв.м. (ширинa 24м x длина 60м x выcотa 6м), мeтaлличecкий каpкac с сэндвич-пaнeлями. Тaкжe мoжно построить здание кпп-офисов площадью 290кв.м.
 Мы предлагаем:
 - Удобное положение: всего 14 км от МКАД по Ленинградскому или Новосходненскому шоссе, 900м от ст.Сходня.
 - Все коммуникации: до 270 кВт электрической мощности, на участке центральные вода, канализация, газ по границе.
 - Комфорт и безопасность: подъезд 24/7 по асфальту, территория огорожена бетонным забором, на въезде КПП, круглосуточная охрана.
 - Чистота и прозрачность сделки, есть уже реализованные проекты аналогичных зданий, которые можно посмотреть вживую.
 - 180м.р. за 2 участка с коммуникациями и разрешениями на строительство., 5 фото",https://www.cian.ru/sale/commercial/318589891
